from_id,to_id,to_name,relationship_type,source_column
Respondent_0,Brand_0,乐道,EVALUATED_BRAND,brand
Respondent_1,Brand_1,小鹏,EVALUATED_BRAND,brand
Respondent_2,Brand_1,小鹏,EVALUATED_BRAND,brand
Respondent_3,Brand_2,传祺,EVALUATED_BRAND,brand
Respondent_4,Brand_1,小鹏,EVALUATED_BRAND,brand
Respondent_5,Brand_3,比亚迪,EVALUATED_BRAND,brand
Respondent_6,Brand_4,吉利,EVALUATED_BRAND,brand
Respondent_7,Brand_5,领跑,EVALUATED_BRAND,brand
Respondent_8,Brand_6,红旗天工,EVALUATED_BRAND,brand
Respondent_9,Brand_7,福特,EVALUATED_BRAND,brand
Respondent_10,Brand_8,吉利银河,EVALUATED_BRAND,brand
Respondent_11,Brand_3,比亚迪,EVALUATED_BRAND,brand
Respondent_12,Brand_4,吉利,EVALUATED_BRAND,brand
Respondent_13,Brand_9,吉利帝豪,EVALUATED_BRAND,brand
Respondent_14,Brand_10,长安,EVALUATED_BRAND,brand
Respondent_15,Brand_11,长安深蓝,EVALUATED_BRAND,brand
Respondent_16,Brand_12,享界S9T,EVALUATED_BRAND,brand
Respondent_17,Brand_0,乐道,EVALUATED_BRAND,brand
Respondent_18,Brand_13,传祺向往S7,EVALUATED_BRAND,brand
Respondent_19,Brand_14,乐道L90,EVALUATED_BRAND,brand
Respondent_20,Brand_15,理想,EVALUATED_BRAND,brand
Respondent_21,Brand_16,零跑,EVALUATED_BRAND,brand
Respondent_22,Brand_17,蔚来,EVALUATED_BRAND,brand
Respondent_23,Brand_18,理想L6,EVALUATED_BRAND,brand
Respondent_24,Brand_19,小鹏X9增程车,EVALUATED_BRAND,brand
Respondent_25,Brand_16,零跑,EVALUATED_BRAND,brand
Respondent_26,Brand_20,岚图,EVALUATED_BRAND,brand
Respondent_27,Brand_21,比亚迪方程豹,EVALUATED_BRAND,brand
Respondent_28,Brand_15,理想,EVALUATED_BRAND,brand
Respondent_29,Brand_22,埃安,EVALUATED_BRAND,brand
Respondent_30,Brand_23,特斯拉,EVALUATED_BRAND,brand
Respondent_31,Brand_24,极氪7X,EVALUATED_BRAND,brand
Respondent_32,Brand_25,极氪,EVALUATED_BRAND,brand
Respondent_33,Brand_4,吉利,EVALUATED_BRAND,brand
Respondent_34,Brand_25,极氪,EVALUATED_BRAND,brand
Respondent_35,Brand_26,北汽极狐,EVALUATED_BRAND,brand
Respondent_36,Brand_7,福特,EVALUATED_BRAND,brand
Respondent_37,Brand_27,启源A06,EVALUATED_BRAND,brand
Respondent_38,Brand_17,蔚来,EVALUATED_BRAND,brand
Respondent_39,Brand_1,小鹏,EVALUATED_BRAND,brand
Respondent_40,Brand_28,腾势N9,EVALUATED_BRAND,brand
Respondent_41,Brand_17,蔚来,EVALUATED_BRAND,brand
Respondent_42,Brand_29,奇瑞,EVALUATED_BRAND,brand
Respondent_43,Brand_30,AUDI,EVALUATED_BRAND,brand
Respondent_44,Brand_31,ht,EVALUATED_BRAND,brand
Respondent_45,Brand_32,智己,EVALUATED_BRAND,brand
Respondent_46,Brand_33,小米,EVALUATED_BRAND,brand
Respondent_47,Brand_34,奔驰,EVALUATED_BRAND,brand
Respondent_48,Brand_35,问界,EVALUATED_BRAND,brand
Respondent_49,Brand_36,GS3影速,EVALUATED_BRAND,brand
Respondent_50,Brand_37,长安启源,EVALUATED_BRAND,brand
Respondent_51,Brand_38,五菱星光730,EVALUATED_BRAND,brand
Respondent_52,Brand_22,埃安,EVALUATED_BRAND,brand
Respondent_53,Brand_17,蔚来,EVALUATED_BRAND,brand
Respondent_54,Brand_39,智界,EVALUATED_BRAND,brand
Respondent_55,Brand_40,别克,EVALUATED_BRAND,brand
Respondent_56,Brand_29,奇瑞,EVALUATED_BRAND,brand
Respondent_57,Brand_32,智己,EVALUATED_BRAND,brand
Respondent_58,Brand_41,智界R7,EVALUATED_BRAND,brand
Respondent_59,Brand_42,东风日产,EVALUATED_BRAND,brand
Respondent_60,Brand_16,零跑,EVALUATED_BRAND,brand
Respondent_61,Brand_8,吉利银河,EVALUATED_BRAND,brand
Respondent_62,Brand_3,比亚迪,EVALUATED_BRAND,brand
Respondent_63,Brand_43,icar,EVALUATED_BRAND,brand
Respondent_64,Brand_15,理想,EVALUATED_BRAND,brand
Respondent_65,Brand_33,小米,EVALUATED_BRAND,brand
Respondent_66,Brand_4,吉利,EVALUATED_BRAND,brand
Respondent_67,Brand_44,丰田 赛那,EVALUATED_BRAND,brand
Respondent_68,Brand_17,蔚来,EVALUATED_BRAND,brand
Respondent_69,Brand_45,极石,EVALUATED_BRAND,brand
Respondent_70,Brand_35,问界,EVALUATED_BRAND,brand
