issue_id,name,source_column,mention_count
Issue_0,灯具边界,appearance_overall_negative,1
Issue_2,喜好接受度,appearance_overall_negative,1
Issue_7,6座空间,appearance_overall_negative,1
Issue_8,仪表,appearance_overall_negative,1
Issue_10,外造型细节,appearance_overall_negative,1
Issue_11,前脸,appearance_overall_negative,3
Issue_18,MPV设计,appearance_overall_negative,1
Issue_21,鲨鱼鳍,appearance_overall_negative,1
Issue_23,车身尺寸,appearance_overall_negative,1
Issue_24,造型风格,appearance_overall_negative,1
Issue_28,车高,appearance_overall_negative,1
Issue_29,车宽,appearance_overall_negative,1
Issue_30,设计,appearance_overall_negative,1
Issue_31,劳斯莱斯借鉴,appearance_overall_negative,1
Issue_34,尾部,appearance_overall_negative,1
Issue_39,轮毂,appearance_overall_negative,1
Issue_40,A柱,appearance_overall_negative,1
Issue_42,后四窗,appearance_overall_negative,1
Issue_45,亮饰条,appearance_overall_negative,1
Issue_47,车身臃肿,appearance_overall_negative,1
Issue_57,M9,appearance_overall_negative,1
Issue_58,M8,appearance_overall_negative,1
Issue_4,车灯,appearance_front_side_negative,1
Issue_5,车标,appearance_front_side_negative,1
Issue_6,摄像头,appearance_front_side_negative,1
Issue_19,门把手,appearance_front_side_negative,1
Issue_21,外视镜,appearance_front_side_negative,1
Issue_23,前格栅,appearance_front_side_negative,1
Issue_24,车身侧面线条,appearance_front_side_negative,1
Issue_2,手感,appearance_paint_color_negative,1
Issue_4,第一视觉感触,appearance_paint_color_negative,1
Issue_7,价格,appearance_paint_color_negative,1
Issue_9,造型,appearance_paint_color_negative,1
Issue_4,置物便利性,interior_design_layout_negative,1
Issue_5,内饰精致度,interior_design_layout_negative,1
Issue_6,开关缝隙,interior_design_layout_negative,1
Issue_7,储物空间,interior_design_layout_negative,2
Issue_8,皮质亲肤感,interior_design_layout_negative,1
Issue_9,仪表台塑料感,interior_design_layout_negative,1
Issue_10,塑料感,interior_design_layout_negative,1
Issue_11,按键数量,interior_design_layout_negative,1
Issue_12,辨识度,interior_design_layout_negative,1
Issue_13,二排过道,interior_design_layout_negative,1
Issue_14,质感,interior_design_layout_negative,1
Issue_15,方向盘形状,interior_design_layout_negative,1
Issue_16,座椅厚度,interior_design_layout_negative,1
Issue_17,翻毛皮用量,interior_design_layout_negative,1
Issue_18,塑料件,interior_design_layout_negative,1
Issue_19,板块体验,interior_design_layout_negative,1
Issue_20,设计简洁性,interior_design_layout_negative,1
Issue_21,空间大小,interior_design_layout_negative,1
Issue_22,个性,interior_design_layout_negative,1
Issue_23,前排座椅调节,interior_design_layout_negative,1
Issue_24,前排空间,interior_design_layout_negative,1
Issue_25,老气,interior_design_layout_negative,1
Issue_26,座椅清洁性,interior_design_layout_negative,1
Issue_27,导轨外露,interior_design_layout_negative,1
Issue_28,仪表尺寸,interior_design_layout_negative,1
Issue_29,用料,interior_design_layout_negative,2
Issue_30,软包区域,interior_design_layout_negative,1
Issue_32,目标用户适配性,interior_design_layout_negative,1
Issue_33,储物格设计,interior_design_layout_negative,1
Issue_34,抽屉推拉顺畅性,interior_design_layout_negative,1
Issue_35,空调出风口位置,interior_design_layout_negative,1
Issue_36,6座,interior_design_layout_negative,1
Issue_37,空间,interior_design_layout_negative,1
Issue_0,喇叭网孔,interior_material_workmanship_negative,1
Issue_1,浅色内饰,interior_material_workmanship_negative,1
Issue_2,后排座椅,interior_material_workmanship_negative,1
Issue_3,细节品质,interior_material_workmanship_negative,1
Issue_4,金属制品,interior_material_workmanship_negative,1
Issue_5,整体内饰,interior_material_workmanship_negative,1
Issue_6,软包,interior_material_workmanship_negative,1
Issue_7,门板开关面板,interior_material_workmanship_negative,1
Issue_8,中控台饰板,interior_material_workmanship_negative,2
Issue_9,触感,interior_material_workmanship_negative,1
Issue_10,毛织材质,interior_material_workmanship_negative,1
Issue_11,内饰接缝面,interior_material_workmanship_negative,1
Issue_12,按摩功能,interior_material_workmanship_negative,1
Issue_13,内饰布局,interior_material_workmanship_negative,1
Issue_14,内饰配色,interior_material_workmanship_negative,1
Issue_15,内饰用料,interior_material_workmanship_negative,1
Issue_16,布料,interior_material_workmanship_negative,1
Issue_17,硬塑料,interior_material_workmanship_negative,2
Issue_18,双连屏设计,interior_material_workmanship_negative,1
Issue_19,内饰材质,interior_material_workmanship_negative,1
Issue_20,内饰设计,interior_material_workmanship_negative,1
Issue_22,按键面板设计,interior_material_workmanship_negative,1
Issue_23,IP台,interior_material_workmanship_negative,1
Issue_24,翻毛皮,interior_material_workmanship_negative,1
Issue_25,低档软包覆,interior_material_workmanship_negative,1
Issue_27,精细感,interior_material_workmanship_negative,1
Issue_28,仪表台镀铬饰条,interior_material_workmanship_negative,1
Issue_29,年轻新潮要求适配性,interior_material_workmanship_negative,1
Issue_30,硬质材质,interior_material_workmanship_negative,1
Issue_31,软包用料,interior_material_workmanship_negative,1
Issue_32,仿皮座椅,interior_material_workmanship_negative,1
Issue_33,亮点,interior_material_workmanship_negative,1
Issue_34,第三排空间,interior_material_workmanship_negative,1
Issue_35,材质,interior_material_workmanship_negative,1
Issue_36,Console,interior_material_workmanship_negative,1
Issue_37,门板,interior_material_workmanship_negative,1
Issue_38,顶棚材质,interior_material_workmanship_negative,1
Issue_39,顶棚工艺,interior_material_workmanship_negative,1
Issue_0,光泽度,interior_color_atmosphere_negative,1
Issue_1,温度感,interior_color_atmosphere_negative,1
Issue_2,耐脏性,interior_color_atmosphere_negative,2
Issue_3,科技感,interior_color_atmosphere_negative,1
Issue_4,温馨感,interior_color_atmosphere_negative,1
Issue_5,氛围感,interior_color_atmosphere_negative,2
Issue_6,前排氛围感,interior_color_atmosphere_negative,1
Issue_7,二排氛围感,interior_color_atmosphere_negative,1
