from_id,to_id,to_name,relationship_type,sentiment,source_column
Feature_76,Component_5,车身,RELATES_TO_COMPONENT,positive,appearance_overall_positive
Feature_76,Component_37,高度,RELATES_TO_COMPONENT,positive,appearance_overall_positive
Feature_77,Component_13,前脸,RELATES_TO_COMPONENT,positive,appearance_overall_positive
Feature_79,Component_23,造型,RELATES_TO_COMPONENT,positive,appearance_overall_positive
Feature_87,Component_23,造型,RELATES_TO_COMPONENT,positive,appearance_overall_positive
Feature_80,Component_26,银河式贯穿灯,RELATES_TO_COMPONENT,positive,appearance_overall_positive
Feature_83,Component_23,座椅,RELATES_TO_COMPONENT,positive,appearance_overall_positive
Feature_83,Component_6,活动天幕,RELATES_TO_COMPONENT,positive,appearance_overall_positive
Feature_83,Component_3,尾门,RELATES_TO_COMPONENT,positive,appearance_overall_positive
Feature_83,Component_26,储物盒,RELATES_TO_COMPONENT,positive,appearance_overall_positive
Feature_83,Component_26,电动发罩,RELATES_TO_COMPONENT,positive,appearance_overall_positive
Feature_83,Component_26,扰流板,RELATES_TO_COMPONENT,positive,appearance_overall_positive
Feature_83,Component_5,悬浮式车顶,RELATES_TO_COMPONENT,positive,appearance_overall_positive
Feature_83,Component_26,尾门小桌板,RELATES_TO_COMPONENT,positive,appearance_overall_positive
Feature_83,Component_13,涉水深度,RELATES_TO_COMPONENT,positive,appearance_overall_positive
Feature_84,Component_5,外形,RELATES_TO_COMPONENT,positive,appearance_overall_positive
Feature_133,Component_5,外形,RELATES_TO_COMPONENT,positive,appearance_overall_positive
Feature_84,Component_5,黑色,RELATES_TO_COMPONENT,positive,appearance_overall_positive
Feature_88,Component_5,辨识度,RELATES_TO_COMPONENT,positive,appearance_overall_positive
Feature_88,Component_5,个性,RELATES_TO_COMPONENT,positive,appearance_overall_positive
Feature_89,Component_5,外观,RELATES_TO_COMPONENT,positive,appearance_overall_positive
Feature_91,Component_5,外观,RELATES_TO_COMPONENT,positive,appearance_overall_positive
Feature_124,Component_5,外观,RELATES_TO_COMPONENT,positive,appearance_overall_positive
Feature_129,Component_5,外观,RELATES_TO_COMPONENT,positive,appearance_overall_positive
Feature_142,Component_5,外观,RELATES_TO_COMPONENT,positive,appearance_overall_positive
Feature_90,Component_5,车身外造型,RELATES_TO_COMPONENT,positive,appearance_overall_positive
Feature_90,Component_5,车身比例,RELATES_TO_COMPONENT,positive,appearance_overall_positive
Feature_94,Component_5,车身比例,RELATES_TO_COMPONENT,positive,appearance_overall_positive
Feature_90,Component_5,线条设计,RELATES_TO_COMPONENT,positive,appearance_overall_positive
Feature_90,Component_5,车身美学,RELATES_TO_COMPONENT,positive,appearance_overall_positive
Feature_90,Component_5,视觉冲击力,RELATES_TO_COMPONENT,positive,appearance_overall_positive
Feature_94,Component_5,运动姿态,RELATES_TO_COMPONENT,positive,appearance_overall_positive
Feature_95,Component_5,线条,RELATES_TO_COMPONENT,positive,appearance_overall_positive
Feature_132,Component_5,线条,RELATES_TO_COMPONENT,positive,appearance_overall_positive
Feature_138,Component_5,线条,RELATES_TO_COMPONENT,positive,appearance_overall_positive
Feature_143,Component_5,线条,RELATES_TO_COMPONENT,positive,appearance_overall_positive
Feature_97,Component_26,灯光设计,RELATES_TO_COMPONENT,positive,appearance_overall_positive
