from_id,to_id,to_name,relationship_type,sentiment,source_column
Respondent_0,Experience_115,灯具边界,MENTIONED_EXPERIENCE,negative,13、劣势点
Respondent_2,Experience_116,车尾造型,MENTIONED_EXPERIENCE,negative,13、劣势点
Respondent_3,Experience_117,后尾部,MENTIONED_EXPERIENCE,negative,13、劣势点
Respondent_7,Experience_118,6坐空间,MENTIONED_EXPERIENCE,negative,13、劣势点
Respondent_8,Experience_326,仪表,MENTIONED_EXPERIENCE,negative,13、劣势点
Respondent_9,Experience_120,细节部分,MENTIONED_EXPERIENCE,negative,13、劣势点
Respondent_9,Experience_121,感官品质,MENTIONED_EXPERIENCE,negative,13、劣势点
Respondent_10,Experience_122,外造型微细节,MENTIONED_EXPERIENCE,negative,13、劣势点
Respondent_13,Experience_123,前脸,MENTIONED_EXPERIENCE,negative,13、劣势点
Respondent_19,Experience_123,前脸,MENTIONED_EXPERIENCE,negative,13、劣势点
Respondent_37,Experience_123,前脸,MENTIONED_EXPERIENCE,negative,13、劣势点
Respondent_14,Experience_124,隐藏式门把手,MENTIONED_EXPERIENCE,negative,13、劣势点
Respondent_14,Experience_125,开门关门声音,MENTIONED_EXPERIENCE,negative,13、劣势点
Respondent_16,Experience_126,车身外钣金件接缝,MENTIONED_EXPERIENCE,negative,13、劣势点
Respondent_16,Experience_127,工艺管控,MENTIONED_EXPERIENCE,negative,13、劣势点
Respondent_18,Experience_128,侧面造型,MENTIONED_EXPERIENCE,negative,13、劣势点
Respondent_24,Experience_128,侧面造型,MENTIONED_EXPERIENCE,negative,13、劣势点
Respondent_19,Experience_129,前备箱缝隙,MENTIONED_EXPERIENCE,negative,13、劣势点
Respondent_20,Experience_130,MPV设计,MENTIONED_EXPERIENCE,negative,13、劣势点
Respondent_22,Experience_131,车顶摄像头,MENTIONED_EXPERIENCE,negative,13、劣势点
Respondent_24,Experience_132,前脸造型,MENTIONED_EXPERIENCE,negative,13、劣势点
Respondent_25,Experience_133,后背鲨鱼鳍,MENTIONED_EXPERIENCE,negative,13、劣势点
Respondent_25,Experience_134,整体美感,MENTIONED_EXPERIENCE,negative,13、劣势点
Respondent_28,Experience_135,造型接受度,MENTIONED_EXPERIENCE,negative,13、劣势点
Respondent_30,Experience_136,车头,MENTIONED_EXPERIENCE,negative,13、劣势点
Respondent_31,Experience_137,车型,MENTIONED_EXPERIENCE,negative,13、劣势点
Respondent_31,Experience_323,颜色,MENTIONED_EXPERIENCE,negative,13、劣势点
Respondent_31,Experience_139,配置,MENTIONED_EXPERIENCE,negative,13、劣势点
Respondent_33,Experience_140,车高,MENTIONED_EXPERIENCE,negative,13、劣势点
Respondent_33,Experience_141,车宽,MENTIONED_EXPERIENCE,negative,13、劣势点
Respondent_34,Experience_350,设计,MENTIONED_EXPERIENCE,negative,13、劣势点
Respondent_35,Experience_143,尾部设计,MENTIONED_EXPERIENCE,negative,13、劣势点
Respondent_36,Experience_144,前脸设计,MENTIONED_EXPERIENCE,negative,13、劣势点
Respondent_39,Experience_145,尾部,MENTIONED_EXPERIENCE,negative,13、劣势点
Respondent_42,Experience_146,轮辋造型,MENTIONED_EXPERIENCE,negative,13、劣势点
Respondent_42,Experience_147,轮辋,MENTIONED_EXPERIENCE,negative,13、劣势点
Respondent_43,Experience_148,前后脸造型,MENTIONED_EXPERIENCE,negative,13、劣势点
Respondent_44,Experience_149,豪华感,MENTIONED_EXPERIENCE,negative,13、劣势点
Respondent_56,Experience_149,豪华感,MENTIONED_EXPERIENCE,negative,13、劣势点
Respondent_46,Experience_150,轮毂,MENTIONED_EXPERIENCE,negative,13、劣势点
Respondent_46,Experience_151,A柱,MENTIONED_EXPERIENCE,negative,13、劣势点
Respondent_48,Experience_152,车身形态,MENTIONED_EXPERIENCE,negative,13、劣势点
Respondent_49,Experience_153,后四窗,MENTIONED_EXPERIENCE,negative,13、劣势点
Respondent_50,Experience_154,车身造型,MENTIONED_EXPERIENCE,negative,13、劣势点
Respondent_50,Experience_155,力量感,MENTIONED_EXPERIENCE,negative,13、劣势点
Respondent_51,Experience_156,亮饰条,MENTIONED_EXPERIENCE,negative,13、劣势点
Respondent_51,Experience_157,高端感,MENTIONED_EXPERIENCE,negative,13、劣势点
Respondent_52,Experience_158,车身臃肿,MENTIONED_EXPERIENCE,negative,13、劣势点
Respondent_53,Experience_159,发动机盖分缝设计,MENTIONED_EXPERIENCE,negative,13、劣势点
Respondent_58,Experience_160,大众化,MENTIONED_EXPERIENCE,negative,13、劣势点
Respondent_58,Experience_161,特征,MENTIONED_EXPERIENCE,negative,13、劣势点
Respondent_59,Experience_162,新潮,MENTIONED_EXPERIENCE,negative,13、劣势点
Respondent_66,Experience_163,前脸灯造型,MENTIONED_EXPERIENCE,negative,13、劣势点
Respondent_66,Experience_164,保险杠造型,MENTIONED_EXPERIENCE,negative,13、劣势点
Respondent_66,Experience_165,喜好偏好,MENTIONED_EXPERIENCE,negative,13、劣势点
Respondent_68,Experience_166,眼前一亮,MENTIONED_EXPERIENCE,negative,13、劣势点
Respondent_69,Experience_167,细节制造工艺,MENTIONED_EXPERIENCE,negative,13、劣势点
Respondent_70,Experience_168,造型新意,MENTIONED_EXPERIENCE,negative,13、劣势点
Respondent_70,Experience_169,M9,MENTIONED_EXPERIENCE,negative,13、劣势点
Respondent_70,Experience_170,M8,MENTIONED_EXPERIENCE,negative,13、劣势点
Respondent_1,Experience_254,价值感,MENTIONED_EXPERIENCE,negative,20、劣势点
Respondent_1,Experience_255,线条流畅度,MENTIONED_EXPERIENCE,negative,20、劣势点
Respondent_4,Experience_378,做工,MENTIONED_EXPERIENCE,negative,20、劣势点
Respondent_5,Experience_257,简洁性,MENTIONED_EXPERIENCE,negative,20、劣势点
Respondent_8,Experience_258,置物便利性,MENTIONED_EXPERIENCE,negative,20、劣势点
