from_id,to_id,to_name,relationship_type,sentiment,source_column
Respondent_0,Issue_0,灯具边界,MENTIONED_ISSUE,negative,13、劣势点
Respondent_1,Issue_1,风格个性,MENTIONED_ISSUE,negative,13、劣势点
Respondent_1,Issue_2,喜好一致性,MENTIONED_ISSUE,negative,13、劣势点
Respondent_2,Issue_3,车尾造型,MENTIONED_ISSUE,negative,13、劣势点
Respondent_3,Issue_4,后尾部,MENTIONED_ISSUE,negative,13、劣势点
Respondent_5,Issue_5,圆润感,MENTIONED_ISSUE,negative,13、劣势点
Respondent_5,Issue_6,亲和感,MENTIONED_ISSUE,negative,13、劣势点
Respondent_7,Issue_7,6坐空间,MENTIONED_ISSUE,negative,13、劣势点
Respondent_8,Issue_8,仪表,MENTIONED_ISSUE,negative,13、劣势点
Respondent_9,Issue_9,细节部分,MENTIONED_ISSUE,negative,13、劣势点
Respondent_9,Issue_10,感官品质,MENTIONED_ISSUE,negative,13、劣势点
Respondent_10,Issue_11,外造型微细节,MENTIONED_ISSUE,negative,13、劣势点
Respondent_13,Issue_12,前脸,MENTIONED_ISSUE,negative,13、劣势点
Respondent_19,Issue_12,前脸,MENTIONED_ISSUE,negative,13、劣势点
Respondent_14,Issue_13,隐藏式门把手,MENTIONED_ISSUE,negative,13、劣势点
Respondent_55,Issue_13,隐藏式门把手,MENTIONED_ISSUE,negative,13、劣势点
Respondent_14,Issue_14,开门关门声音,MENTIONED_ISSUE,negative,13、劣势点
Respondent_16,Issue_15,车身外钣金件接缝,MENTIONED_ISSUE,negative,13、劣势点
Respondent_16,Issue_16,工艺管控,MENTIONED_ISSUE,negative,13、劣势点
Respondent_18,Issue_17,侧面造型,MENTIONED_ISSUE,negative,13、劣势点
Respondent_24,Issue_17,侧面造型,MENTIONED_ISSUE,negative,13、劣势点
Respondent_19,Issue_18,前备箱缝隙,MENTIONED_ISSUE,negative,13、劣势点
Respondent_20,Issue_19,MPV设计,MENTIONED_ISSUE,negative,13、劣势点
Respondent_22,Issue_20,车顶摄像头,MENTIONED_ISSUE,negative,13、劣势点
Respondent_24,Issue_21,前脸造型,MENTIONED_ISSUE,negative,13、劣势点
Respondent_37,Issue_21,前脸造型,MENTIONED_ISSUE,negative,13、劣势点
Respondent_43,Issue_21,前脸造型,MENTIONED_ISSUE,negative,13、劣势点
Respondent_25,Issue_22,鲨鱼鳍,MENTIONED_ISSUE,negative,13、劣势点
Respondent_25,Issue_23,后背造型,MENTIONED_ISSUE,negative,13、劣势点
Respondent_27,Issue_24,尺寸,MENTIONED_ISSUE,negative,13、劣势点
Respondent_28,Issue_25,造型接受度,MENTIONED_ISSUE,negative,13、劣势点
Respondent_30,Issue_26,车头设计,MENTIONED_ISSUE,negative,13、劣势点
Respondent_31,Issue_27,车型颜色配置,MENTIONED_ISSUE,negative,13、劣势点
Respondent_31,Issue_28,年轻化,MENTIONED_ISSUE,negative,13、劣势点
Respondent_33,Issue_29,车高,MENTIONED_ISSUE,negative,13、劣势点
Respondent_33,Issue_30,车宽视觉效果,MENTIONED_ISSUE,negative,13、劣势点
Respondent_34,Issue_31,设计借鉴,MENTIONED_ISSUE,negative,13、劣势点
Respondent_34,Issue_32,劳斯莱斯设计元素,MENTIONED_ISSUE,negative,13、劣势点
Respondent_35,Issue_33,尾部设计,MENTIONED_ISSUE,negative,13、劣势点
Respondent_36,Issue_34,前脸设计,MENTIONED_ISSUE,negative,13、劣势点
Respondent_37,Issue_35,圆润度,MENTIONED_ISSUE,negative,13、劣势点
Respondent_39,Issue_36,尾部棱角,MENTIONED_ISSUE,negative,13、劣势点
Respondent_39,Issue_37,尾部尖锐感,MENTIONED_ISSUE,negative,13、劣势点
Respondent_42,Issue_38,轮辋造型,MENTIONED_ISSUE,negative,13、劣势点
Respondent_43,Issue_39,后脸造型,MENTIONED_ISSUE,negative,13、劣势点
Respondent_43,Issue_40,造型审美,MENTIONED_ISSUE,negative,13、劣势点
Respondent_44,Issue_41,豪华感,MENTIONED_ISSUE,negative,13、劣势点
Respondent_56,Issue_41,豪华感,MENTIONED_ISSUE,negative,13、劣势点
Respondent_46,Issue_42,轮毂,MENTIONED_ISSUE,negative,13、劣势点
Respondent_46,Issue_43,A柱,MENTIONED_ISSUE,negative,13、劣势点
Respondent_48,Issue_44,车身形态,MENTIONED_ISSUE,negative,13、劣势点
Respondent_49,Issue_45,后四窗,MENTIONED_ISSUE,negative,13、劣势点
Respondent_50,Issue_46,车身造型,MENTIONED_ISSUE,negative,13、劣势点
Respondent_50,Issue_47,力量感,MENTIONED_ISSUE,negative,13、劣势点
Respondent_51,Issue_48,亮饰条,MENTIONED_ISSUE,negative,13、劣势点
Respondent_51,Issue_49,高端感,MENTIONED_ISSUE,negative,13、劣势点
Respondent_52,Issue_50,车身臃肿,MENTIONED_ISSUE,negative,13、劣势点
Respondent_53,Issue_51,发动机盖分缝设计,MENTIONED_ISSUE,negative,13、劣势点
Respondent_58,Issue_52,大众化,MENTIONED_ISSUE,negative,13、劣势点
Respondent_58,Issue_53,特征,MENTIONED_ISSUE,negative,13、劣势点
Respondent_59,Issue_54,新潮性,MENTIONED_ISSUE,negative,13、劣势点
Respondent_66,Issue_55,前脸灯造型,MENTIONED_ISSUE,negative,13、劣势点
Respondent_66,Issue_56,保险杠造型,MENTIONED_ISSUE,negative,13、劣势点
Respondent_68,Issue_57,视觉冲击力,MENTIONED_ISSUE,negative,13、劣势点
Respondent_69,Issue_58,细节制造工艺,MENTIONED_ISSUE,negative,13、劣势点
Respondent_70,Issue_59,造型新意,MENTIONED_ISSUE,negative,13、劣势点
Respondent_70,Issue_60,M9,MENTIONED_ISSUE,negative,13、劣势点
Respondent_70,Issue_61,M8,MENTIONED_ISSUE,negative,13、劣势点
Respondent_1,Issue_62,价值感,MENTIONED_ISSUE,negative,20、劣势点
Respondent_1,Issue_63,线条流畅度,MENTIONED_ISSUE,negative,20、劣势点
Respondent_4,Issue_125,做工,MENTIONED_ISSUE,negative,20、劣势点
Respondent_5,Issue_65,简洁性,MENTIONED_ISSUE,negative,20、劣势点
Respondent_8,Issue_66,置物便利性,MENTIONED_ISSUE,negative,20、劣势点
Respondent_8,Issue_67,内饰精致度,MENTIONED_ISSUE,negative,20、劣势点
Respondent_8,Issue_68,开关缝隙,MENTIONED_ISSUE,negative,20、劣势点
Respondent_9,Issue_69,储物空间,MENTIONED_ISSUE,negative,20、劣势点
Respondent_43,Issue_69,储物空间,MENTIONED_ISSUE,negative,20、劣势点
Respondent_10,Issue_70,皮质亲肤感,MENTIONED_ISSUE,negative,20、劣势点
Respondent_12,Issue_71,仪表台塑料感,MENTIONED_ISSUE,negative,20、劣势点
Respondent_16,Issue_72,塑料感,MENTIONED_ISSUE,negative,20、劣势点
Respondent_22,Issue_73,按键数量,MENTIONED_ISSUE,negative,20、劣势点
Respondent_25,Issue_74,辨识度,MENTIONED_ISSUE,negative,20、劣势点
Respondent_26,Issue_75,二排过道,MENTIONED_ISSUE,negative,20、劣势点
Respondent_29,Issue_76,质感,MENTIONED_ISSUE,negative,20、劣势点
Respondent_33,Issue_77,方向盘形状,MENTIONED_ISSUE,negative,20、劣势点
Respondent_34,Issue_78,座椅,MENTIONED_ISSUE,negative,20、劣势点
Respondent_36,Issue_123,翻毛皮,MENTIONED_ISSUE,negative,20、劣势点
Respondent_39,Issue_80,塑料部件,MENTIONED_ISSUE,negative,20、劣势点
Respondent_39,Issue_81,板块体验感,MENTIONED_ISSUE,negative,20、劣势点
Respondent_43,Issue_82,设计简洁性,MENTIONED_ISSUE,negative,20、劣势点
Respondent_43,Issue_185,空间,MENTIONED_ISSUE,negative,20、劣势点
Respondent_70,Issue_185,空间,MENTIONED_ISSUE,negative,20、劣势点
Respondent_44,Issue_84,个性,MENTIONED_ISSUE,negative,20、劣势点
Respondent_46,Issue_85,前排座椅调整,MENTIONED_ISSUE,negative,20、劣势点
Respondent_46,Issue_86,前排空间,MENTIONED_ISSUE,negative,20、劣势点
Respondent_55,Issue_87,座椅脏污,MENTIONED_ISSUE,negative,20、劣势点
Respondent_55,Issue_88,导轨外露,MENTIONED_ISSUE,negative,20、劣势点
Respondent_55,Issue_89,仪表尺寸小,MENTIONED_ISSUE,negative,20、劣势点
Respondent_56,Issue_90,用料一般,MENTIONED_ISSUE,negative,20、劣势点
Respondent_56,Issue_91,软包区域不足,MENTIONED_ISSUE,negative,20、劣势点
Respondent_59,Issue_92,造型风格不符合年轻人需求,MENTIONED_ISSUE,negative,20、劣势点
Respondent_61,Issue_93,造型风格一般,MENTIONED_ISSUE,negative,20、劣势点
Respondent_63,Issue_94,储物格位置新颖,MENTIONED_ISSUE,negative,20、劣势点
Respondent_63,Issue_95,抽屉推拉费劲,MENTIONED_ISSUE,negative,20、劣势点
Respondent_66,Issue_96,空调出风口位置不习惯,MENTIONED_ISSUE,negative,20、劣势点
Respondent_67,Issue_97,用料不真诚,MENTIONED_ISSUE,negative,20、劣势点
Respondent_70,Issue_98,6座,MENTIONED_ISSUE,negative,20、劣势点
Respondent_0,Issue_99,喇叭网孔,MENTIONED_ISSUE,negative,21、劣势点
Respondent_1,Issue_100,浅色内饰,MENTIONED_ISSUE,negative,21、劣势点
Respondent_1,Issue_101,后排座椅,MENTIONED_ISSUE,negative,21、劣势点
Respondent_7,Issue_102,细节品质,MENTIONED_ISSUE,negative,21、劣势点
Respondent_9,Issue_103,金属制品,MENTIONED_ISSUE,negative,21、劣势点
Respondent_13,Issue_104,内饰,MENTIONED_ISSUE,negative,21、劣势点
Respondent_13,Issue_105,软包,MENTIONED_ISSUE,negative,21、劣势点
Respondent_14,Issue_106,门板开关面板,MENTIONED_ISSUE,negative,21、劣势点
Respondent_14,Issue_107,中控台饰板,MENTIONED_ISSUE,negative,21、劣势点
Respondent_15,Issue_107,中控台饰板,MENTIONED_ISSUE,negative,21、劣势点
Respondent_16,Issue_108,触感,MENTIONED_ISSUE,negative,21、劣势点
Respondent_21,Issue_109,毛织材质,MENTIONED_ISSUE,negative,21、劣势点
Respondent_24,Issue_110,内饰接缝面,MENTIONED_ISSUE,negative,21、劣势点
Respondent_27,Issue_160,按摩功能,MENTIONED_ISSUE,negative,21、劣势点
Respondent_28,Issue_112,内饰布局,MENTIONED_ISSUE,negative,21、劣势点
Respondent_28,Issue_113,内饰配色,MENTIONED_ISSUE,negative,21、劣势点
Respondent_30,Issue_114,内饰用料,MENTIONED_ISSUE,negative,21、劣势点
Respondent_30,Issue_115,布料,MENTIONED_ISSUE,negative,21、劣势点
Respondent_30,Issue_116,硬塑料,MENTIONED_ISSUE,negative,21、劣势点
Respondent_35,Issue_116,硬塑料,MENTIONED_ISSUE,negative,21、劣势点
Respondent_34,Issue_117,双连屏设计,MENTIONED_ISSUE,negative,21、劣势点
Respondent_35,Issue_118,内饰材质,MENTIONED_ISSUE,negative,21、劣势点
Respondent_36,Issue_119,内饰设计,MENTIONED_ISSUE,negative,21、劣势点
Respondent_41,Issue_120,用料,MENTIONED_ISSUE,negative,21、劣势点
Respondent_60,Issue_120,用料,MENTIONED_ISSUE,negative,21、劣势点
Respondent_69,Issue_120,用料,MENTIONED_ISSUE,negative,21、劣势点
Respondent_42,Issue_121,按键面板设计,MENTIONED_ISSUE,negative,21、劣势点
Respondent_42,Issue_122,IP台,MENTIONED_ISSUE,negative,21、劣势点
Respondent_43,Issue_123,翻毛皮,MENTIONED_ISSUE,negative,21、劣势点
Respondent_49,Issue_124,低档软包覆感,MENTIONED_ISSUE,negative,21、劣势点
Respondent_51,Issue_125,做工,MENTIONED_ISSUE,negative,21、劣势点
Respondent_51,Issue_126,精细感,MENTIONED_ISSUE,negative,21、劣势点
Respondent_52,Issue_127,仪表台镀铬饰条,MENTIONED_ISSUE,negative,21、劣势点
Respondent_59,Issue_128,年轻新潮要求适配性,MENTIONED_ISSUE,negative,21、劣势点
Respondent_60,Issue_129,硬质材质,MENTIONED_ISSUE,negative,21、劣势点
Respondent_60,Issue_130,软包用料,MENTIONED_ISSUE,negative,21、劣势点
Respondent_60,Issue_131,仿皮座椅,MENTIONED_ISSUE,negative,21、劣势点
Respondent_61,Issue_132,亮点,MENTIONED_ISSUE,negative,21、劣势点
Respondent_68,Issue_133,第三排空间,MENTIONED_ISSUE,negative,21、劣势点
Respondent_69,Issue_134,材质,MENTIONED_ISSUE,negative,21、劣势点
Respondent_70,Issue_135,Console,MENTIONED_ISSUE,negative,21、劣势点
Respondent_70,Issue_136,门板,MENTIONED_ISSUE,negative,21、劣势点
Respondent_70,Issue_137,顶棚材质,MENTIONED_ISSUE,negative,21、劣势点
Respondent_70,Issue_138,顶棚工艺,MENTIONED_ISSUE,negative,21、劣势点
Respondent_5,Issue_139,反应速度慢,MENTIONED_ISSUE,negative,31、劣势点
Respondent_5,Issue_140,理解能力不足,MENTIONED_ISSUE,negative,31、劣势点
Respondent_6,Issue_141,拒识率高,MENTIONED_ISSUE,negative,31、劣势点
Respondent_8,Issue_142,识别准确率低,MENTIONED_ISSUE,negative,31、劣势点
Respondent_8,Issue_143,响应速度慢,MENTIONED_ISSUE,negative,31、劣势点
Respondent_9,Issue_144,同质化,MENTIONED_ISSUE,negative,31、劣势点
Respondent_12,Issue_145,唤醒率低,MENTIONED_ISSUE,negative,31、劣势点
Respondent_12,Issue_146,唤醒失败,MENTIONED_ISSUE,negative,31、劣势点
Respondent_21,Issue_147,语音对话响应慢,MENTIONED_ISSUE,negative,31、劣势点
Respondent_21,Issue_148,语音识别不准,MENTIONED_ISSUE,negative,31、劣势点
Respondent_25,Issue_149,连续对话误识别,MENTIONED_ISSUE,negative,31、劣势点
Respondent_31,Issue_150,NFC钥匙兼容性,MENTIONED_ISSUE,negative,31、劣势点
Respondent_31,Issue_151,UWB钥匙兼容性,MENTIONED_ISSUE,negative,31、劣势点
Respondent_43,Issue_152,车机功能局限性,MENTIONED_ISSUE,negative,31、劣势点
Respondent_68,Issue_153,触发灵敏度,MENTIONED_ISSUE,negative,31、劣势点
Respondent_2,Issue_154,前排零重力功能,MENTIONED_ISSUE,negative,59、劣势点
Respondent_2,Issue_155,二排过道板扶手,MENTIONED_ISSUE,negative,59、劣势点
Respondent_2,Issue_156,三排座椅,MENTIONED_ISSUE,negative,59、劣势点
Respondent_2,Issue_157,座椅头枕,MENTIONED_ISSUE,negative,59、劣势点
Respondent_2,Issue_158,腿部支撑,MENTIONED_ISSUE,negative,59、劣势点
Respondent_3,Issue_159,座椅柔软度,MENTIONED_ISSUE,negative,59、劣势点
Respondent_4,Issue_160,按摩功能,MENTIONED_ISSUE,negative,59、劣势点
Respondent_5,Issue_161,座椅材质,MENTIONED_ISSUE,negative,59、劣势点
Respondent_63,Issue_161,座椅材质,MENTIONED_ISSUE,negative,59、劣势点
Respondent_5,Issue_162,真皮质感,MENTIONED_ISSUE,negative,59、劣势点
Respondent_6,Issue_163,二排承托,MENTIONED_ISSUE,negative,59、劣势点
Respondent_7,Issue_164,6座空间,MENTIONED_ISSUE,negative,59、劣势点
Respondent_8,Issue_165,腿托支撑,MENTIONED_ISSUE,negative,59、劣势点
Respondent_13,Issue_166,座椅硬度,MENTIONED_ISSUE,negative,59、劣势点
Respondent_30,Issue_166,座椅硬度,MENTIONED_ISSUE,negative,59、劣势点
Respondent_36,Issue_166,座椅硬度,MENTIONED_ISSUE,negative,59、劣势点
Respondent_56,Issue_166,座椅硬度,MENTIONED_ISSUE,negative,59、劣势点
Respondent_14,Issue_167,座椅褶皱,MENTIONED_ISSUE,negative,59、劣势点
Respondent_15,Issue_168,缝线品质,MENTIONED_ISSUE,negative,59、劣势点
Respondent_18,Issue_169,脚托,MENTIONED_ISSUE,negative,59、劣势点
Respondent_19,Issue_170,腿托,MENTIONED_ISSUE,negative,59、劣势点
Respondent_21,Issue_171,Y向空间,MENTIONED_ISSUE,negative,59、劣势点
Respondent_22,Issue_172,按摩力度,MENTIONED_ISSUE,negative,59、劣势点
Respondent_22,Issue_173,坐垫按摩,MENTIONED_ISSUE,negative,59、劣势点
Respondent_25,Issue_174,包裹性,MENTIONED_ISSUE,negative,59、劣势点
Respondent_35,Issue_174,包裹性,MENTIONED_ISSUE,negative,59、劣势点
Respondent_25,Issue_175,座椅长度,MENTIONED_ISSUE,negative,59、劣势点
Respondent_33,Issue_176,后排坐垫高度,MENTIONED_ISSUE,negative,59、劣势点
Respondent_34,Issue_177,三排座椅靠背硬度,MENTIONED_ISSUE,negative,59、劣势点
Respondent_35,Issue_178,靠背硬度,MENTIONED_ISSUE,negative,59、劣势点
Respondent_35,Issue_179,座垫长度,MENTIONED_ISSUE,negative,59、劣势点
Respondent_37,Issue_180,后排屏幕,MENTIONED_ISSUE,negative,59、劣势点
Respondent_39,Issue_181,三排头枕厚度,MENTIONED_ISSUE,negative,59、劣势点
Respondent_39,Issue_182,二排扶手宽度,MENTIONED_ISSUE,negative,59、劣势点
Respondent_39,Issue_183,支撑感,MENTIONED_ISSUE,negative,59、劣势点
Respondent_42,Issue_184,后排靠背角度,MENTIONED_ISSUE,negative,59、劣势点
Respondent_43,Issue_185,空间,MENTIONED_ISSUE,negative,59、劣势点
Respondent_43,Issue_186,舒适性,MENTIONED_ISSUE,negative,59、劣势点
Respondent_43,Issue_187,座椅软硬度,MENTIONED_ISSUE,negative,59、劣势点
Respondent_52,Issue_188,前排座椅肩部高度,MENTIONED_ISSUE,negative,59、劣势点
Respondent_52,Issue_189,外观美观性,MENTIONED_ISSUE,negative,59、劣势点
Respondent_59,Issue_190,全包围感,MENTIONED_ISSUE,negative,59、劣势点
Respondent_61,Issue_191,主驾侧板,MENTIONED_ISSUE,negative,59、劣势点
