feature_id,name,source_column,mention_count
Feature_0,体量,appearance_design_overall_positive,2
Feature_3,辨识度,appearance_design_overall_positive,3
Feature_6,高度,appearance_design_overall_positive,1
Feature_7,臃肿感,appearance_design_overall_positive,1
Feature_8,前脸,appearance_design_overall_positive,1
Feature_9,定位,appearance_design_overall_positive,1
Feature_13,海鸥动物力度,appearance_design_overall_positive,1
Feature_19,外观,appearance_design_overall_positive,10
Feature_32,造型,appearance_design_overall_positive,2
Feature_52,天青色车漆,appearance_design_overall_positive,1
Feature_53,黑白双色内饰,appearance_design_overall_positive,1
Feature_57,前卫感,appearance_design_overall_positive,1
Feature_66,精致性,appearance_design_overall_positive,1
Feature_90,面包车,appearance_design_overall_positive,1
Feature_99,车体格,appearance_design_overall_positive,1
Feature_100,长度,appearance_design_overall_positive,1
Feature_101,时尚感,appearance_design_overall_positive,1
Feature_102,SUV造型,appearance_design_overall_positive,1
Feature_103,发罩分缝形式,appearance_design_overall_positive,1
Feature_104,车身姿态,appearance_design_overall_positive,1
Feature_105,姿态,appearance_design_overall_positive,1
Feature_0,灯具,appearance_design_overall_negative,1
Feature_1,车尾造型,appearance_design_overall_negative,1
Feature_2,后尾部,appearance_design_overall_negative,1
Feature_3,圆润,appearance_design_overall_negative,1
Feature_4,亲和,appearance_design_overall_negative,1
Feature_5,6坐空间,appearance_design_overall_negative,1
Feature_6,仪表,appearance_design_overall_negative,1
Feature_7,细节部分,appearance_design_overall_negative,1
Feature_8,感官品质,appearance_design_overall_negative,1
Feature_10,微细节,appearance_design_overall_negative,1
Feature_13,车身外钣金件接缝处,appearance_design_overall_negative,1
Feature_14,侧面,appearance_design_overall_negative,2
Feature_15,前备箱,appearance_design_overall_negative,1
Feature_17,MPV设计,appearance_design_overall_negative,1
Feature_18,车顶两侧摄像头,appearance_design_overall_negative,1
Feature_19,后背,appearance_design_overall_negative,1
Feature_20,鲨鱼鳍,appearance_design_overall_negative,1
Feature_21,车头,appearance_design_overall_negative,1
Feature_22,车型,appearance_design_overall_negative,1
Feature_23,颜色,appearance_design_overall_negative,1
Feature_24,配置,appearance_design_overall_negative,1
Feature_25,车高,appearance_design_overall_negative,1
Feature_26,车宽,appearance_design_overall_negative,1
Feature_27,设计,appearance_design_overall_negative,1
Feature_28,尾部设计,appearance_design_overall_negative,1
Feature_29,前脸设计,appearance_design_overall_negative,1
Feature_30,尾部,appearance_design_overall_negative,1
Feature_31,轮辋造型,appearance_design_overall_negative,1
Feature_32,前后脸造型,appearance_design_overall_negative,1
Feature_34,轮毂,appearance_design_overall_negative,1
Feature_35,A柱,appearance_design_overall_negative,1
Feature_36,后四窗,appearance_design_overall_negative,1
Feature_37,力量感,appearance_design_overall_negative,1
Feature_38,亮饰条装饰,appearance_design_overall_negative,1
Feature_39,高端感,appearance_design_overall_negative,1
Feature_40,车身,appearance_design_overall_negative,1
Feature_41,发盖设计,appearance_design_overall_negative,1
Feature_42,分缝,appearance_design_overall_negative,1
Feature_43,前脸灯,appearance_design_overall_negative,1
Feature_44,保险杠造型,appearance_design_overall_negative,1
Feature_45,细节制造工艺,appearance_design_overall_negative,1
Feature_46,M9,appearance_design_overall_negative,1
Feature_47,M8,appearance_design_overall_negative,1
Feature_0,H型,appearance_design_front_side_positive,1
Feature_1,贯穿灯,appearance_design_front_side_positive,1
Feature_2,主动进气格栅,appearance_design_front_side_positive,1
Feature_3,侧围水切,appearance_design_front_side_positive,1
Feature_4,腰线,appearance_design_front_side_positive,1
Feature_5,俯冲感,appearance_design_front_side_positive,1
Feature_6,C柱,appearance_design_front_side_positive,1
Feature_7,摄像头,appearance_design_front_side_positive,1
Feature_8,车标,appearance_design_front_side_positive,1
Feature_9,贯穿式前大灯,appearance_design_front_side_positive,1
Feature_10,前脸运动姿态,appearance_design_front_side_positive,1
Feature_11,前灯,appearance_design_front_side_positive,1
Feature_12,星环大灯,appearance_design_front_side_positive,1
Feature_13,鲨鱼前脸,appearance_design_front_side_positive,1
Feature_14,侧面运动感,appearance_design_front_side_positive,1
Feature_15,小灯,appearance_design_front_side_positive,1
Feature_16,灯,appearance_design_front_side_positive,1
Feature_17,星河璀璨,appearance_design_front_side_positive,1
Feature_18,车灯,appearance_design_front_side_positive,1
Feature_21,侧围,appearance_design_front_side_positive,2
Feature_22,一体感,appearance_design_front_side_positive,1
Feature_23,风阻,appearance_design_front_side_positive,1
Feature_25,发罩,appearance_design_front_side_positive,1
Feature_26,星环灯,appearance_design_front_side_positive,1
Feature_28,紧凑感,appearance_design_front_side_positive,1
Feature_29,简约感,appearance_design_front_side_positive,1
Feature_30,大发罩,appearance_design_front_side_positive,1
Feature_31,大气感,appearance_design_front_side_positive,1
Feature_37,主动闭合式进气格栅,appearance_design_front_side_positive,1
Feature_38,小鹏系设计语言,appearance_design_front_side_positive,1
Feature_40,标志性,appearance_design_front_side_positive,1
Feature_42,感知品质,appearance_design_front_side_positive,1
Feature_43,大灯设计,appearance_design_front_side_positive,1
Feature_44,车头高度,appearance_design_front_side_positive,1
