respondent_id,name,source_column,source_file,age_group,gender,family_status,time_spent
Respondent_0,74,respondent_id,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv,25-29岁,男,未婚/单身,1027秒
Respondent_1,75,respondent_id,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv,40-44岁,女,已婚1孩,3450秒
Respondent_2,76,respondent_id,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv,30-34岁,男,未婚/单身,12344秒
Respondent_3,77,respondent_id,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv,35-39岁,男,已婚2孩/多人口,400秒
Respondent_4,78,respondent_id,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv,35-39岁,女,已婚2孩/多人口,4362秒
Respondent_5,79,respondent_id,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv,35-39岁,男,已婚1孩,6796秒
Respondent_6,80,respondent_id,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv,30-34岁,男,已婚1孩,2704秒
Respondent_7,81,respondent_id,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv,40-44岁,男,已婚2孩/多人口,2541秒
Respondent_8,82,respondent_id,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv,35-39岁,男,已婚1孩,3989秒
Respondent_9,83,respondent_id,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv,54岁及以上,男,已婚1孩,13456秒
Respondent_10,84,respondent_id,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv,35-39岁,男,已婚2孩/多人口,2923秒
Respondent_11,85,respondent_id,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv,35-39岁,男,已婚2孩/多人口,5621秒
Respondent_12,86,respondent_id,序号_standardized_schema_cleaned_standardized_schema_cleaned_standardized_schema_cleaned.csv,35-39岁,女,已婚2孩/多人口,2402秒
