from_id,to_id,to_name,relationship_type,source_column
Respondent_0,Store_0,广州市番禺大道店,VISITED_STORE,store
Respondent_1,Store_1,广州市番禺区天河城店,VISITED_STORE,store
Respondent_2,Store_2,番禺天河城店,VISITED_STORE,store
Respondent_3,Store_3,广州传祺经典店,VISITED_STORE,store
Respondent_4,Store_4,广州-番禺天河城店,VISITED_STORE,store
Respondent_5,Store_5,湖南益阳天驰汽车城,VISITED_STORE,store
Respondent_6,Store_6,广州市—广汽研究院对标车,VISITED_STORE,store
Respondent_7,Store_7,增城领跑体验店,VISITED_STORE,store
Respondent_8,Store_8,广州市广物红旗,VISITED_STORE,store
Respondent_9,Store_9,2025年广州国际车展,VISITED_STORE,store
Respondent_10,Store_10,广州番禺吉利银河广州大驾番禺店,VISITED_STORE,store
Respondent_11,Store_11,车展,VISITED_STORE,store
Respondent_12,Store_12,广州车展,VISITED_STORE,store
Respondent_13,Store_13,广州车展—奥迪展厅,VISITED_STORE,store
Respondent_14,Store_12,广州车展,VISITED_STORE,store
Respondent_15,Store_12,广州车展,VISITED_STORE,store
Respondent_16,Store_14,番禺万达金街，华为体验门店,VISITED_STORE,store
Respondent_17,Store_12,广州车展,VISITED_STORE,store
Respondent_18,Store_15,广州-长盛店,VISITED_STORE,store
Respondent_19,Store_16,广州市南沙环宇城店,VISITED_STORE,store
Respondent_20,Store_17,2025广州车展,VISITED_STORE,store
Respondent_21,Store_18,广州-广州车展,VISITED_STORE,store
Respondent_22,Store_19,广州市-南沙环宇城店,VISITED_STORE,store
Respondent_23,Store_12,广州车展,VISITED_STORE,store
Respondent_24,Store_20,广州车展17.2展厅,VISITED_STORE,store
Respondent_25,Store_12,广州车展,VISITED_STORE,store
Respondent_26,Store_11,车展,VISITED_STORE,store
Respondent_27,Store_21,广州市-方程豹汽车广州白云大道旗舰中心,VISITED_STORE,store
Respondent_28,Store_22,广州车展理想展厅,VISITED_STORE,store
Respondent_29,Store_23,广州海珠体验中心,VISITED_STORE,store
Respondent_30,Store_24,广州天环广场店,VISITED_STORE,store
Respondent_31,Store_12,广州车展,VISITED_STORE,store
Respondent_32,Store_25,极氪交付中心广州番禺交付体验中心,VISITED_STORE,store
Respondent_33,Store_26,广州-车展,VISITED_STORE,store
Respondent_34,Store_27,广州车展极氪展台,VISITED_STORE,store
Respondent_35,Store_26,广州-车展,VISITED_STORE,store
Respondent_36,Store_28,广州车展福特展台,VISITED_STORE,store
Respondent_37,Store_12,广州车展,VISITED_STORE,store
Respondent_38,Store_29,广州市番禺桥南店,VISITED_STORE,store
Respondent_39,Store_30,广州市-番禺天河城店,VISITED_STORE,store
Respondent_40,Store_12,广州车展,VISITED_STORE,store
Respondent_41,Store_11,车展,VISITED_STORE,store
Respondent_42,Store_26,广州-车展,VISITED_STORE,store
Respondent_43,Store_12,广州车展,VISITED_STORE,store
Respondent_44,Store_31,广州海珠昊铂店,VISITED_STORE,store
Respondent_45,Store_12,广州车展,VISITED_STORE,store
Respondent_46,Store_32,广交会展馆,VISITED_STORE,store
Respondent_47,Store_12,广州车展,VISITED_STORE,store
Respondent_48,Store_33,惠州大亚湾万达广场鸿蒙智行体验中心(问界),VISITED_STORE,store
Respondent_49,Store_34,自己车,VISITED_STORE,store
Respondent_50,Store_12,广州车展,VISITED_STORE,store
Respondent_51,Store_35,广州市-广州华贵五菱宝骏4S店,VISITED_STORE,store
Respondent_52,Store_36,广州车展埃安展台,VISITED_STORE,store
Respondent_53,Store_12,广州车展,VISITED_STORE,store
Respondent_54,Store_37,广州番禺万达店,VISITED_STORE,store
Respondent_55,Store_12,广州车展,VISITED_STORE,store
Respondent_56,Store_26,广州-车展,VISITED_STORE,store
Respondent_57,Store_12,广州车展,VISITED_STORE,store
Respondent_58,Store_38,广州番禺万达华为智能生活馆,VISITED_STORE,store
Respondent_59,Store_39,天津市名达汽车销售服务有限公司,VISITED_STORE,store
Respondent_60,Store_12,广州车展,VISITED_STORE,store
Respondent_61,Store_40,广州市吉利银河中山店,VISITED_STORE,store
Respondent_62,Store_12,广州车展,VISITED_STORE,store
Respondent_63,Store_41,广州-番禺体验中心,VISITED_STORE,store
Respondent_64,Store_42,广州 理想番禺大道店,VISITED_STORE,store
Respondent_65,Store_43,深圳壹方天地店,VISITED_STORE,store
Respondent_66,Store_44,广州-吉利银河广州中和黄埔店,VISITED_STORE,store
Respondent_67,Store_12,广州车展,VISITED_STORE,store
Respondent_68,Store_45,广州新塘店,VISITED_STORE,store
Respondent_69,Store_12,广州车展,VISITED_STORE,store
Respondent_70,Store_46,广州-车展鸿蒙智行展台,VISITED_STORE,store
